1744246649,0,109,785,0
1744246803,-1,104.385,7137,156.392
1744250403,6,104.729,105482,39.0279
1744254015,-4,104.538,222405,31.7654
1744257618,-7,104.515,335117,29.8731
1744261203,1,104.565,456943,33.7195
1744264817,0,104.484,561137,28.3568
1744268401,-8,104.497,668844,27.619
1744272012,0,104.525,786498,29.804
1744275613,-6,104.531,900845,21.4971
1744279204,8,104.525,1.00693e+06,18.904
1744282808,-7,104.522,1.11687e+06,20.5934
1744286400,-9,104.51,1.21568e+06,17.6255
1744290025,0,104.495,1.33394e+06,14.4772
1744293609,-1,104.484,1.44704e+06,14.7196
1744297219,0,104.473,1.55718e+06,16.6652
1744300813,-1,104.472,1.665e+06,17.0827
1744304418,-1,104.464,1.75691e+06,14.8233
1744308010,0,104.457,1.87038e+06,13.9849
1744311612,-6,104.462,1.98313e+06,14.2596
1744315209,5,104.486,2.09422e+06,12.1453
1744318807,1,104.476,2.21078e+06,12.2054
1744322406,1,104.486,2.32093e+06,12.9143
1744326003,0,104.49,2.43784e+06,12.8347
1744329616,-3,104.482,2.54552e+06,12.7397
1744333206,6,104.476,2.64998e+06,13.022
1744336830,-4,104.475,2.74572e+06,12.5397
1744340423,1,104.482,2.84551e+06,12.7256
1744344055,-5,104.482,2.94416e+06,11.5555
1744347617,5,104.48,3.04024e+06,12.3191
1744351202,1,104.477,3.1458e+06,11.4282
