,0,1,2,3
alpha_yzhan_meanbs610,0.011735059830508474,0.013079016393442626,0.6234475664594479,0.7220202517389256
alpha_yzhan_meanbs7,0.012282205508474578,0.01178050819672131,0.5709202625682478,0.768035088109564
alpha_yzhan_meanbs22,0.010304835593220337,0.009613950819672134,0.47485075580023756,0.5889302309639121
alpha_yzhan_meanbs410,0.011084588474576272,0.008499409836065574,0.5351861233942341,0.5284482626158575
alpha_yzhan_meanbs469,0.014609571186440679,0.007462639344262295,0.6696782175814717,0.5022902223244944
alpha_yzhan_meanbs422,0.009155133898305086,0.008558737704918032,0.5269400034466382,0.5129144287255472
alpha_yzhan_meanbs407,0.008832362711864408,0.009641918032786885,0.4811193234356351,0.637151487011069
alpha_yzhan_meanbs412,0.008762898305084746,0.009913770491803281,0.6263757214808771,0.6122880491430897
alpha_yzhan_meanbs604,0.008053498305084743,0.005935918032786887,0.4712087782682443,0.3357266429683756
alpha_yzhan_meanbs669,0.008030774067796611,0.009583081967213114,0.36507807088287936,0.5184427484143985
alpha_yzhan_meanbs404,0.008779452542372881,0.005464114754098361,0.5020020631127696,0.2974141986479841
alpha_yzhan_meanbs12,0.007273685084745763,0.008987377049180328,0.47986545726188923,0.47078326378275176
alpha_yzhan_meanbs91,0.0070656677966101705,0.006689147540983605,0.39203282355317354,0.4890469238095122
alpha_yzhan_meanbs628,0.008165998983050846,0.004167131147540983,0.33546528305153217,0.25816583418691025
alpha_yzhan_meanbs3,0.006219266101694917,0.005077868852459017,0.31827134415881275,0.29727043775734313
alpha_yzhan_meanbs269,0.006238917118644069,0.0041203606557377054,0.3289408641019106,0.29765002383413836
alpha_yzhan_meanbs204,0.006740277983050848,0.0038811311475409832,0.2999809953349315,0.2831056624109214
alpha_yzhan_meanbs0,0.007840352881355933,0.004256163934426229,0.380099623306687,0.23040662663861622
alpha_yzhan_meanbs980,0.008175003389830508,0.004277213114754099,0.3041737456397125,0.22630304235995416
alpha_yzhan_meanbs1097,0.007088494915254237,0.003678245901639343,0.2574883530527007,0.22629624749156743
alpha_yzhan_meanbs439,0.007579686610169492,0.003941262295081967,0.3792326210939237,0.22064326104615165
alpha_yzhan_meanbs712,0.00608480031101695,0.005429377049180328,0.24858495613660822,0.41070445190694815
alpha_yzhan_meanbs52,0.005197580169491525,0.0038070000000000005,0.2591964730150451,0.21700408550257608
alpha_yzhan_meanbs1128,0.005156199999999999,0.0047534918032786895,0.3095210346296026,0.23728120872820097
alpha_yzhan_meanbs165,0.0059570789830508475,0.0035035737704918034,0.2950578743333697,0.2616924061790327
alpha_yzhan_meanbs207,0.005061162372881354,0.006662065573770491,0.3017996402704997,0.5075741366708498
alpha_yzhan_meanbs1142,0.005686762033898305,0.0033768032786885244,0.29016934804527283,0.2273484885807284
alpha_yzhan_meanbs6,0.005223588813559323,0.004029852459016392,0.24092458756703294,0.19930189550666513
alpha_yzhan_meanbs420,0.010089661186440679,0.0031289344262295073,0.5299834638863058,0.1880931110664402
alpha_yzhan_meanbs853,0.004980411355932203,0.0030784262295081967,0.22323374612034777,0.18447345163698411
alpha_yzhan_meanbs210,0.004540483576271186,0.005273081967213115,0.28134954290590286,0.34970298819616297
alpha_yzhan_meanbs704,0.004523101067796609,0.004068983606557378,0.2160734681090608,0.28875074382775145
alpha_yzhan_meanbs886,0.005907492881355933,0.003041081967213115,0.25926322682575187,0.21480820156880667
alpha_yzhan_meanbs216,0.006225396610169493,0.0030319836065573766,0.33809662279275543,0.1896424781693643
alpha_yzhan_meanbs680,0.006343532881355932,0.003018704918032788,0.33132027844186324,0.22333853987774704
alpha_yzhan_meanbs14,0.005943524067796611,0.0029916229508196715,0.2829267252213718,0.221008935315692
alpha_yzhan_meanbs254,0.008256906610169493,0.0029711311475409826,0.40091823502415275,0.2140722847604023
alpha_yzhan_meanbs1023,0.00531356593220339,0.003054262295081967,0.20691547071419808,0.18516902850646913
alpha_yzhan_meanbs413,0.0041392542372881355,0.004805459016393442,0.2125925078026644,0.3064833783729618
alpha_yzhan_meanbs952,0.00417887220338983,0.0033039836065573776,0.197077389265027,0.2299204155680628
alpha_yzhan_meanbs65,0.00410538,0.0034523606557377057,0.22484104580521702,0.17033829924789048
alpha_yzhan_meanbs611,0.006344684237288136,0.002954344262295083,0.29581945268408855,0.16694538474112336
alpha_yzhan_meanbs525,0.00517758813559322,0.0026486393442622953,0.2704058477944462,0.20099987595264124
alpha_yzhan_meanbs20,0.005321845762711864,0.0027725737704918036,0.295971497105969,0.16088229007620486
alpha_yzhan_meanbs673,0.003972361186440678,0.003574081967213116,0.19641780306803802,0.22758606047205904
alpha_yzhan_meanbs791,0.0062313013559322054,0.0031550327868852457,0.34146397013436275,0.1599578522575459
alpha_yzhan_meanbs919,0.004820425423728812,0.0026227704918032786,0.2361865720610959,0.15977717930568822
alpha_yzhan_meanbs113,0.005868135593220339,0.0035437704918032773,0.1852620367013386,0.1882953610162133
alpha_yzhan_meanbs895,0.004213965423728813,0.002702557377049181,0.1820709260790764,0.19988971149257498
alpha_yzhan_meanbs921,0.006168986440677967,0.0025352786885245887,0.24230839719523287,0.16593651664107745
alpha_yzhan_meanbs1061,0.006272155762711864,0.002927803278688525,0.261491264069128,0.1524692973880877
alpha_yzhan_meanbs212,0.003715736779661017,0.005065196721311474,0.24438707932331435,0.31892645973159
alpha_yzhan_meanbs361,0.0036964367796610167,0.004911245901639344,0.18536422706261182,0.2658281880699539
alpha_yzhan_meanbs473,0.0036590338983050856,0.0024526557377049178,0.18825754311229528,0.15584643290439695
alpha_yzhan_meanbs267,0.0036323569491525424,0.0034224918032786894,0.17437275663091653,0.24407487332102748
alpha_yzhan_meanbs37,0.00410877220338983,0.0024267377049180337,0.18308548196032118,0.20153937479908024
alpha_yzhan_meanbs304,0.0035562288135593217,0.0033668196721311477,0.1726201381018683,0.22707644649053482
alpha_yzhan_meanbs335,0.0035546327118644075,0.003294147540983606,0.2189147136516141,0.21101836239979327
alpha_yzhan_meanbs220,0.004919007271186442,0.00231827868852459,0.28222367417770317,0.15611047741377904
alpha_yzhan_meanbs366,0.0070116042372881365,0.002332459016393443,0.4159491230545585,0.14239390201048613
alpha_yzhan_meanbs754,0.0035576537288135594,0.0031386557377049177,0.16731951179598742,0.21642450389816553
alpha_yzhan_meanbs15,0.0035873408474576267,0.003164377049180327,0.1665030358677825,0.23344315653177816
alpha_yzhan_meanbs557,0.003934991572881357,0.002267672131147541,0.1703099965936553,0.15562421787378428
alpha_yzhan_meanbs392,0.003398552372881356,0.002888016393442623,0.172657280407026,0.17113397099980954
alpha_yzhan_meanbs739,0.0035625638983050848,0.003987786885245901,0.16438324151073017,0.2084125774206375
alpha_yzhan_meanbs588,0.007000325254237287,0.0022632459016393436,0.2953115327722591,0.17398408900457324
alpha_yzhan_meanbs57,0.0038151642372881355,0.00224183606557377,0.23139263674415378,0.1547409295120516
alpha_yzhan_meanbs218,0.006074287118644069,0.0022837704918032787,0.2880295925740394,0.1376438550983536
alpha_yzhan_meanbs675,0.0063598476271186435,0.0022293442622950818,0.2982723612704774,0.14837409649266448
alpha_yzhan_meanbs725,0.0033555879661016953,0.0027326065573770493,0.172705751985127,0.1627602974951259
alpha_yzhan_meanbs548,0.005557865084745763,0.002226098360655737,0.2657617978689228,0.14844208116918334
alpha_yzhan_meanbs908,0.00332842372881356,0.0038325573770491813,0.18723437710988752,0.25936858452558254
alpha_yzhan_meanbs13,0.003965074915254237,0.002177295081967213,0.2068382613902022,0.1501096016801818
alpha_yzhan_meanbs139,0.0032939372881355938,0.0046082950819672135,0.16055039318499603,0.35191770102230185
alpha_yzhan_meanbs222,0.0032844091525423722,0.005287131147540984,0.20672430830586588,0.3308331799919547
alpha_yzhan_meanbs239,0.005818350169491526,0.0021404754098360654,0.3139042378029273,0.14431063815132816
alpha_yzhan_meanbs960,0.004740944915254237,0.002116327868852459,0.23588737707170113,0.13510018687491504
alpha_yzhan_meanbs189,0.004639528813559323,0.002287049180327869,0.15761037078606072,0.1494976928412399
alpha_yzhan_meanbs29,0.0032465622033898303,0.0026450983606557377,0.15734716629706527,0.16653612932072176
alpha_yzhan_meanbs1095,0.003857598305084746,0.0030704098360655745,0.1573285527256728,0.21353538822566517
alpha_yzhan_meanbs419,0.0034818755932203398,0.0028794262295081968,0.15627176740464727,0.15493865790751501
alpha_yzhan_meanbs998,0.00554935,0.0026137868852459008,0.2284173843565985,0.12764895784259964
alpha_yzhan_meanbs17,0.003167255762711864,0.0033593934426229513,0.1987435256652218,0.2098125631328235
alpha_yzhan_meanbs257,0.003201293830508475,0.00215155737704918,0.16310177199551348,0.12476236872851507
alpha_yzhan_meanbs209,0.003101406610169492,0.004324754098360655,0.20104168137936143,0.3314094277637558
alpha_yzhan_meanbs1100,0.003539288135593221,0.004002819672131148,0.15012609538753796,0.276697416077996
alpha_yzhan_meanbs480,0.004215821355932203,0.0023259836065573766,0.24880832166059427,0.12202430539857552
alpha_yzhan_meanbs958,0.00783601491525424,0.0019894098360655733,0.32134462835470395,0.14121710987182493
alpha_yzhan_meanbs616,0.003790583050847458,0.0020677377049180324,0.1680542284555205,0.1204838160328682
alpha_yzhan_meanbs41,0.003952645932203389,0.0019851639344262307,0.15699822870277827,0.14654023546386574
alpha_yzhan_meanbs580,0.0033893954237288137,0.002687213114754098,0.14780803406250706,0.1510075090722299
alpha_yzhan_meanbs646,0.003545029322033898,0.002515885245901639,0.14773504794674974,0.14454254748323953
alpha_yzhan_meanbs48,0.003446316101694916,0.0019604098360655733,0.17778010366377275,0.12804589365248215
alpha_yzhan_meanbs507,0.00303426,0.002828573770491803,0.21732455698062877,0.15866948330626474
alpha_yzhan_meanbs149,0.0032447605084745764,0.0019398360655737703,0.15167945423385001,0.13660415050126398
alpha_yzhan_meanbs446,0.0053249769491525425,0.0019327213114754098,0.3247555768345169,0.13730421123105657
alpha_yzhan_meanbs315,0.003081130508474576,0.0030595901639344255,0.1448835556777612,0.1592718502750949
alpha_yzhan_meanbs18,0.005248721016949153,0.0020216721311475407,0.26864789733398714,0.1163299211708695
alpha_yzhan_meanbs843,0.002975115084745762,0.0020723442622950818,0.1692547082676723,0.13074558388678237
alpha_yzhan_meanbs975,0.0029542713559322035,0.0032655409836065577,0.1516266719196314,0.2177692060832014
