,0,1,2,3
alpha_yzhan_cross7510,0.009501761016949151,0.0029687704918032786,0.38342819904461606,0.1820886846842804
alpha_yzhan_cross2257,0.0074768772881355925,0.004042295081967215,0.39281153594867946,0.274419801146566
alpha_yzhan_cross2152,0.00714444406779661,0.004952819672131148,0.356084194538015,0.33869789334613976
alpha_yzhan_cross2328,0.006818971864406779,0.002713180327868853,0.34674592356261,0.17316260489855395
alpha_yzhan_cross3562,0.006968803389830509,0.002852344262295082,0.30081455599586204,0.17520089459828972
alpha_yzhan_cross2512,0.007771307966101693,0.0024531967213114758,0.3598388473196368,0.14410008534588784

alpha_yzhan_cross172,0.006786164830508475,0.0035236065573770485,0.28871933921134385,0.24991328317672923
alpha_yzhan_cross1579,0.006336857627118644,0.002705098360655738,0.286384745809165,0.17971807655982985
alpha_yzhan_cross4724,0.006099671186440678,0.0026168196721311483,0.29955150155018545,0.18202300931340132
alpha_yzhan_cross7667,0.006564328813559321,0.00330539344262295,0.2754205016729332,0.19946942937302428
alpha_yzhan_cross3680,0.005912027118644068,0.002989721311475411,0.27845503240779373,0.15023869093530753
alpha_yzhan_cross3052,0.006475359661016949,0.003505442622950818,0.2639872705037964,0.21311161112773408
alpha_yzhan_cross5392,0.007141264406779661,0.0021906229508196736,0.2853627764803378,0.1552738765567142
alpha_yzhan_cross4600,0.006047249152542373,0.002946819672131148,0.25990440810730564,0.1868574272266635
alpha_yzhan_cross4954,0.005580364915254237,0.004314245901639345,0.28922217010639667,0.24776070385419133
alpha_yzhan_cross7665,0.006149794915254237,0.002611704918032788,0.2536227036503938,0.16637771844150412
alpha_yzhan_cross6838,0.009704006779661017,0.0026124426229508202,0.31945880166803087,0.12933600278436477
alpha_yzhan_cross5,0.005515694237288136,0.0030250983606557387,0.2597692479567159,0.15020674200510406
alpha_yzhan_cross5504,0.005968984474576271,0.0021813770491803273,0.24692936714468292,0.14025895560256338
alpha_yzhan_cross6175,0.007596710169491526,0.0022618196721311476,0.3648805878141138,0.12191867515509378
alpha_yzhan_cross790,0.0053857644067796615,0.0020030163934426225,0.2566549208419366,0.11919432825932029
alpha_yzhan_cross3127,0.0054356949152542374,0.00199460655737705,0.27592571916959713,0.14372375382706198
alpha_yzhan_cross2297,0.005548597457627117,0.002867344262295083,0.22695906690222808,0.1576526255126734
alpha_yzhan_cross2379,0.004960201186440678,0.0021482131147540977,0.2798190335017064,0.1451986043795125
alpha_yzhan_cross2350,0.00493973406779661,0.0026844590163934427,0.23031471786486055,0.16786187580408723
alpha_yzhan_cross3463,0.004919481355932205,0.0021468360655737696,0.2512581180610555,0.13024571548500194
alpha_yzhan_cross2079,0.009356072542372881,0.0019557377049180323,0.43602550316397093,0.11875977676415395
alpha_yzhan_cross7075,0.004898289491525425,0.00329283606557377,0.2537508830674956,0.24597591544721623
alpha_yzhan_cross122,0.0048713762711864415,0.0025700655737704923,0.2795817778256834,0.14135693010411032
alpha_yzhan_cross5204,0.005295204254237288,0.002109442622950819,0.2292967922192627,0.11332820972408417
alpha_yzhan_cross2048,0.004786608644067796,0.002096688524590164,0.2286973895279101,0.11632271606247259
alpha_yzhan_cross4247,0.004748192372881355,0.003026049180327869,0.24067444800515714,0.17999037121621198
alpha_yzhan_cross6391,0.004733372711864406,0.003464901639344262,0.25638657524105524,0.2004595946923375
alpha_yzhan_cross3005,0.004612688135593221,0.0028990819672131156,0.21369859854806939,0.18243193718279302
alpha_yzhan_cross939,0.004556935593220338,0.0020543770491803282,0.2674857030362398,0.11909013578566449
alpha_yzhan_cross542,0.005937360508474576,0.001880213114754098,0.3181611060850664,0.10681071607112733
alpha_yzhan_cross245,0.004527305084745765,0.0021793114754098367,0.2239273916154948,0.13242215529522286
alpha_yzhan_cross162,0.00442726779661017,0.005575852459016392,0.23447847012641732,0.32343694573627174
alpha_yzhan_cross760,0.004412454237288134,0.003964459016393442,0.20556736477965543,0.25158755160085505
alpha_yzhan_cross3459,0.0043787998305084746,0.0024266065573770495,0.26980386971182674,0.15033167651274246
alpha_yzhan_cross4544,0.005760393050847456,0.0017042786885245907,0.20160598309464214,0.13250033488316829
alpha_yzhan_cross1408,0.0042251125423728815,0.00427295081967213,0.20678912476051944,0.33220225953209326
alpha_yzhan_cross5788,0.004192421016949153,0.0030463114754098355,0.23007528079703704,0.222888653920264
alpha_yzhan_cross7531,0.004523386440677966,0.001841918032786886,0.19135127791212728,0.1076175476300051
alpha_yzhan_cross4186,0.004090211016949153,0.0016316065573770498,0.20400633558287568,0.10355396284881091
alpha_yzhan_cross3340,0.004071689830508475,0.0022291147540983605,0.1924976773439145,0.16107023448037802
alpha_yzhan_cross2797,0.005121931694915253,0.0016362295081967224,0.20384860062850468,0.09408009156436373
alpha_yzhan_cross2200,0.003983135593220337,0.0028100655737704912,0.18758578102186024,0.19013580104922015
alpha_yzhan_cross5497,0.004530801694915254,0.002079622950819673,0.18751518659036068,0.13735684549025134
alpha_yzhan_cross3464,0.0053342657627118645,0.0019209508196721312,0.25606529006904755,0.09399588933712925
alpha_yzhan_cross1710,0.00395361254237288,0.002749049180327869,0.199496891984144,0.1884175326343871
alpha_yzhan_cross1781,0.004083652542372884,0.002644655737704918,0.18445302795938773,0.17876151056872902
alpha_yzhan_cross2872,0.003931706779661017,0.0032770163934426233,0.20612213724406603,0.1531621237869126
alpha_yzhan_cross7125,0.0039291118644067796,0.001795163934426229,0.2204070645438799,0.10599906385941203
alpha_yzhan_cross7358,0.003903405084745763,0.001826622950819672,0.2250790534623652,0.13086364292967245
alpha_yzhan_cross2380,0.003899076271186441,0.0023266065573770488,0.18494027312516276,0.14175359235499752
alpha_yzhan_cross2263,0.004303715254237288,0.0015443114754098357,0.18575117644819336,0.09386548212236134
alpha_yzhan_cross766,0.004647137288135593,0.002384770491803279,0.17951317446805415,0.15506212328136812
alpha_yzhan_cross2733,0.003778633220338983,0.0050779344262295075,0.2154666019146269,0.348015810957174
alpha_yzhan_cross2417,0.004155374576271186,0.004266409836065573,0.17718224740279023,0.24029243976335155
alpha_yzhan_cross2441,0.007989642762711864,0.0015376885245901642,0.3250501806745156,0.08991313678434562
alpha_yzhan_cross6166,0.003735612372881356,0.0016159672131147546,0.17795739783052617,0.09406352861848007
alpha_yzhan_cross4839,0.004850850677966102,0.0019722131147540973,0.17185642847038154,0.13435672852141856
alpha_yzhan_cross5575,0.0036827525423728815,0.0022769180327868845,0.25320940763427197,0.13633750991762394
alpha_yzhan_cross3399,0.0036512850847457636,0.0018327868852459019,0.19345803252547195,0.11390488800190514
alpha_yzhan_cross2386,0.0047596859322033905,0.0014505245901639346,0.2618082931740182,0.09536545671945613
alpha_yzhan_cross2440,0.00515254406779661,0.0015595245901639347,0.224622324033432,0.08446746021264122
alpha_yzhan_cross1606,0.0035720135593220338,0.0022940819672131155,0.2158684316289826,0.14255777277976367
alpha_yzhan_cross3074,0.003563540338983051,0.004126131147540984,0.1882433878770673,0.23999134860276425
alpha_yzhan_cross2920,0.004463118813559323,0.0014226557377049177,0.24481803825391085,0.09665322030054173
